timestamp,asn,csp,tls-grab,hashes,cdn-name,port,url,input,location,title,scheme,error,webserver,response-body,content-type,method,host,path,favicon-mmh3,final-url,response-header,request,response-time,jarm,chain-status-codes,a,cnames,technologies,chain,words,lines,status-code,content-length,failed,vhost,websocket,cdn,http2,pipeline
2023-08-04 15:23:23.801891 +0800 CST m=+0.771685209,<nil>,<nil>,<nil>,map[],,443,https://112.126.67.78:443,112.126.67.78,https://112.126.67.78/login?origin=d2f0b9c2-96d9-44eb-85ff-9312089e32a1,,https,,nginx,,,GET,112.126.67.78,/,,,,,32.629417ms,,[],[112.126.67.78],[],[Nginx],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:23.927008 +0800 CST m=+0.896803876,<nil>,<nil>,<nil>,map[],,443,https://106.14.164.247:443,106.14.164.247,https://106.14.164.247/login?origin=e61164ba-90ae-423a-9d52-24d66edda046,,https,,nginx,,,GET,106.14.164.247,/,,,,,97.904209ms,,[],[106.14.164.247],[],[Nginx],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:23.981808 +0800 CST m=+0.951605043,<nil>,<nil>,<nil>,map[],,443,https://221.181.235.73:443,221.181.235.73,,,https,,,,text/html,GET,221.181.235.73,/,,,,,112.348833ms,,[],[221.181.235.73],[],[],[],15,10,200,311,false,false,false,false,false,false
2023-08-04 15:23:23.983718 +0800 CST m=+0.953514918,<nil>,<nil>,<nil>,map[],,443,https://222.189.49.55:443,222.189.49.55,,,https,,,,text/html,GET,222.189.49.55,/,,,,,181.452708ms,,[],[222.189.49.55],[],[],[],15,10,200,311,false,false,false,false,false,false
2023-08-04 15:23:24.107039 +0800 CST m=+1.076837334,<nil>,<nil>,<nil>,map[],,443,https://146.56.196.140:443,146.56.196.140,webroot/decision,,https,,,,text/html,GET,146.56.196.140,/,,,,,178.444917ms,,[],[146.56.196.140],[],[Java],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.117285 +0800 CST m=+1.087083334,<nil>,<nil>,<nil>,map[],,8181,http://106.37.75.135:8181,106.37.75.135:8181,/webroot/decision,页面重定向,http,,,,text/html,GET,106.37.75.135,/,,,,,8.73775ms,,[],[106.37.75.135],[],[Java],[],4,15,302,109,false,false,false,false,false,false
2023-08-04 15:23:24.138124 +0800 CST m=+1.107922834,<nil>,<nil>,<nil>,map[],,8181,http://106.37.75.50:8181,106.37.75.50:8181,/webroot/decision,页面重定向,http,,,,text/html,GET,106.37.75.50,/,,,,,9.6095ms,,[],[106.37.75.50],[],[Java],[],4,15,302,109,false,false,false,false,false,false
2023-08-04 15:23:24.179413 +0800 CST m=+1.149211626,<nil>,<nil>,<nil>,map[],,8081,http://150.138.116.35:8081,150.138.116.35:8081,/webroot/decision/login?origin=5167272a-e302-4dbe-bdb0-bf025abc2f95,,http,,nginx/1.23.4,,,GET,150.138.116.35,/,,,,,57.930667ms,,[],[150.138.116.35],[],[Nginx:1.23.4],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.179575 +0800 CST m=+1.149373418,<nil>,<nil>,<nil>,map[],,443,https://39.107.158.100:443,39.107.158.100,http://39.107.158.100/webroot/decision/login?origin=36c94a07-8fc6-4f5a-b383-8637f6bbf21c,,https,,nginx,,,GET,39.107.158.100,/,,,,,31.64475ms,,[],[39.107.158.100],[],[Nginx],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.188733 +0800 CST m=+1.158531501,<nil>,<nil>,<nil>,map[],,443,https://114.55.66.230:443,114.55.66.230,/webroot/decision/login?origin=95c640a7-096d-4e63-b029-f7f49205a522,,https,,nginx,,,GET,114.55.66.230,/,,,,,140.021333ms,,[],[114.55.66.230],[],[Nginx],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.193259 +0800 CST m=+1.163057668,<nil>,<nil>,<nil>,map[],,443,https://139.9.175.234:443,139.9.175.234,https://139.9.175.234/webroot/decision,302 Found,https,,nginx/1.20.1,,text/html,GET,139.9.175.234,/,,,,,118.27ms,,[],[139.9.175.234],[],[Nginx:1.20.1],[],3,8,302,145,false,false,false,false,false,false
2023-08-04 15:23:24.19422 +0800 CST m=+1.164018543,<nil>,<nil>,<nil>,map[],,443,https://175.6.59.3:443,175.6.59.3,https://175.6.59.3/webroot/decision,301 Moved Permanently,https,,nginx/1.24.0,,text/html,GET,175.6.59.3,/,,,,,131.970041ms,,[],[175.6.59.3],[],[Nginx:1.24.0],[],5,8,301,169,false,false,false,false,false,false
